UsedMedian: SalesAvg:
1976.0 5098.19248826
1941.0 33898.629108
3315.0 193696.112195
3533.0 289514.62439
2999.0 270589.15122
1960.0 127611.668293
2198.0 155904.42439
2299.0 101875.746114
3020.0 154984.360976
3635.0 290769.141463
3999.0 406523.204878
2799.0 52849.122549
3000.0 170713.313725
3400.0 10221.495098
3957.0 95755.4852941
3599.0 42666.5833333
3180.0 27585.9509804
2345.5 60319.6470588
2216.0 182995.867647
2700.0 66268.3137255
4150.0 119576.190244
2500.0 62838.3980583
3200.0 49475.9803922
2100.0 155494.151961
3300.0 34648.4509804
3713.0 417560.813725
2115.0 63047.1960784
3218.0 190559.625616
2719.0 241647.068966
3214.0 114589.433498
3295.0 39042.408867
2194.0 48838.7536946
2199.0 56564.2019704
1700.0 67558.9947644
4000.0 222163.093596
5535.0 393313.118227
20134.0 736358.17734
3181.0 1170464.59606
786.0 669050.719212
3134.0 103007.970443
3481.0 139585.73399
3620.0 49498.8226601
1215.0 237670.937173
3499.0 146443.802956
2500.0 34816.7536946
2975.0 150549.20197
1700.0 16344.173516
2775.0 149942.024631
1252.0 94199.9554455
2684.0 10712.1386139
2515.0 56588.8910891
2069.0 15025.3712871
1909.0 33344.2623762
1805.0 32229.9554455
1679.0 114706.985149
785.5 88840.1980198
228.0 147907.143564
1.0 134812.688119
3745.0 147630.638614
2662.0 91017.3069307
4481.0 108804.460396
3199.0 49229.3366337
3528.0 48115.2263158
785.0 29089.5223881
2433.0 133761.616915
3000.0 62956.159204
2771.0 60038.9154229
2917.0 130046.094527
2015.0 106631.527363
2015.0 185744.114428
1769.0 152641.029851
1708.0 184482.273632
2938.0 107538.666667
2447.0 36489.975
2076.0 222836.962766
1978.0 34205.455
2444.5 2881.335
2151.0 10795.05
2149.0 35897.495
1727.0 109748.955
1787.0 398366.870466
2102.0 8770.105
1900.0 209637.16
2400.0 208658.515
1085.0 142492.3
2258.0 57365.912037
3778.0 79572.285
2498.5 203857.425
1000.0 294639.041885
1591.0 271144.173684
693.0 388653.084211
689.0 17810.7210526
1899.0 505162.589474
785.5 201845.631579
449.0 172822.521053
384.5 324336.521053
761.0 37893.9090909
1880.0 429660.563158
572.5 317669.531579
2466.0 188205.810526
2200.0 82632.010101
1500.0 422547.157895
2701.0 418058.7
2948.0 642774.673684
2179.0 288020.221053
1605.0 41476.8
1782.0 41438.6105263
2198.0 64400.8578947
1340.0 54764.5668449
1825.0 215931.147368
1970.0 58213.2421053
2394.0 7799.98421053
1797.0 43626.4789474
1221.0 36511.8842105
2097.0 144143.226316
2185.0 30841.7052632
2382.0 103160.915789
2874.0 111901.510526
2900.0 209984.438503
3639.5 111335.268421
3642.0 409690.842105
1587.0 107807.457895
1999.0 133012.131579
1989.0 121584.678947
1199.0 102080.126316
1922.0 25266.0315789
910.0 43540.0052632
3279.0 10744.0368421
1450.0 6748.66315789
838.0 28817.5105263
4399.0 49582.2947368
2298.0 188357.236842
2161.0 467695.021164
3920.0 85684.6989247
3706.0 23055.1827957
5405.0 176333.648936
5080.0 224136.379679
1000.0 281443.497326
1442.0 147496.71123
1798.0 300283.417112
7058.0 972487.40107
1364.0 156102.374332
2084.0 665945.770053
3900.0 366573.717391
2664.0 95291.2139037
5950.0 198536.684492
2700.0 215712.593583
2094.0 359853.957219
453.0 97902.9465241
1241.0 133785.435484
1241.0 245455.397849
3090.0 491628.823529
2206.5 139229.44898
6354.0 171307.823529
1892.0 530388.588235
4942.0 367545.477941
3399.0 157016.897059
3467.0 267419.985294
2250.0 232825.691176
1546.5 750672.169118
1489.0 587760.75
1283.0 144290.404412
6669.0 326997.272059
4543.0 533587.345588
2786.0 399809.073529
3118.5 348011.117647
1.0 243099.345588
5139.0 1330419.86029
1.0 205143.397059
2127.0 541039.051471
1793.0 188241.382353
8841.0 604670.602941
1502.0 307138.794118
1765.0 706992.220588
3268.0 1047027.75735
3697.0 931476.176471
4237.0 930283.455882
3299.0 230898.639706
4636.0 1366666.875
4489.0 622230.411765
2550.0 701075.25
2292.0 685199.889706
5766.0 1074294.44853
2965.0 1207909.85294
2861.0 854800.448529
2197.0 370882.948529
4286.0 270003.25
3627.0 104038.5
3949.0 135970.183824
2000.0 957598.948529
830.0 286110.352941
207.0 137666.0
3186.0 784094.266667
4876.0 1608485.79259
8295.0 2762924.17037
6608.0 1885888.72593
4000.0 268472.711111
2180.0 342466.362963
2118.0 174877.6
1798.0 476139.592593
4477.0 596266.088889
1115.0 489714.488889
2198.0 764337.451852
940.0 5905026.94074
2679.0 222680.325926
2995.0 109912.696296
3345.0 266858.962963
2924.0 152432.437037
3159.0 128360.562963
2799.0 191826.562963
1500.0 231563.785185
1998.0 276834.903704
2215.0 252602.348148
